,context1,context2,context3,context4,context5,mutated_letter,pos1,pos2,pos3,size,value1,value2,value3,CDR1_end,CDR2_end,CDR3_end,CDR1_end,CDR2_end,CDR3_end
0,3,3,3,3,2,4,44.0,19.0,7.0,52.0,0.0384615384615,0.0384615384615,0.0192307692308,99.0,174.0,315,99.0,174.0,315
2,3,4,3,2,1,4,66.0,36.0,108.0,27.0,0.148148148148,0.0740740740741,0.0740740740741,99.0,174.0,321,99.0,174.0,321
5,3,3,3,1,2,1,353.0,230.0,155.0,23.0,0.130434782609,0.0869565217391,0.0869565217391,99.0,171.0,342,99.0,171.0,342
7,2,4,2,3,3,1,49.0,162.0,323.0,15.0,0.2,0.0666666666667,0.0666666666667,99.0,174.0,333,99.0,174.0,333
8,1,2,3,3,2,4,275.0,150.0,317.0,59.0,0.0508474576271,0.0338983050847,0.0338983050847,105.0,177.0,360,105.0,177.0,360
16,1,3,1,2,4,3,56.0,60.0,142.0,98.0,0.030612244898,0.030612244898,0.0204081632653,99.0,174.0,333,99.0,174.0,333
27,2,2,1,4,1,2,204.0,304.0,209.0,15.0,0.0666666666667,0.0666666666667,0.0666666666667,99.0,171.0,324,99.0,171.0,324
30,4,2,2,4,2,4,353.0,339.0,195.0,13.0,0.307692307692,0.307692307692,0.0769230769231,99.0,174.0,324,99.0,174.0,324
32,4,2,2,4,2,1,91.0,43.0,241.0,58.0,0.0862068965517,0.0689655172414,0.051724137931,99.0,180.0,342,99.0,180.0,342
33,4,2,2,4,2,4,47.0,261.0,37.0,10.0,0.2,0.1,0.1,99.0,174.0,342,99.0,174.0,342
35,1,3,3,4,3,2,3.0,133.0,35.0,134.0,0.044776119403,0.0223880597015,0.0223880597015,99.0,174.0,333,99.0,174.0,333
49,1,4,4,2,2,2,79.0,155.0,138.0,184.0,0.0489130434783,0.0271739130435,0.0163043478261,99.0,192.0,345,99.0,192.0,345
57,2,2,2,1,3,1,25.0,148.0,308.0,13.0,0.0769230769231,0.0769230769231,0.0769230769231,105.0,177.0,321,105.0,177.0,321
59,3,3,2,4,3,1,25.0,133.0,134.0,57.0,0.0526315789474,0.0350877192982,0.0175438596491,99.0,174.0,336,99.0,174.0,336
62,4,3,2,1,1,1,249.0,260.0,281.0,99.0,0.0505050505051,0.030303030303,0.030303030303,99.0,180.0,336,99.0,180.0,336
74,4,3,1,3,1,4,54.0,134.0,153.0,155.0,0.0258064516129,0.0193548387097,0.0193548387097,99.0,174.0,342,99.0,174.0,342
94,1,4,1,4,3,2,99.0,100.0,18.0,15.0,0.0666666666667,0.0666666666667,0.0666666666667,99.0,174.0,333,99.0,174.0,333
96,4,2,2,1,3,1,36.0,294.0,7.0,16.0,0.0625,0.0625,0.0625,99.0,174.0,336,99.0,174.0,336
99,3,4,2,2,2,4,49.0,77.0,134.0,63.0,0.031746031746,0.031746031746,0.015873015873,99.0,174.0,348,99.0,174.0,348
100,1,3,2,1,3,1,89.0,192.0,140.0,75.0,0.0533333333333,0.04,0.0266666666667,99.0,174.0,330,99.0,174.0,330
106,2,3,4,2,2,3,183.0,203.0,173.0,55.0,0.0727272727273,0.0545454545455,0.0363636363636,99.0,171.0,363,99.0,171.0,363
111,1,1,3,3,3,4,194.0,133.0,102.0,17.0,0.0588235294118,0.0588235294118,0.0588235294118,99.0,174.0,303,99.0,174.0,303
112,2,2,3,4,4,4,282.0,54.0,68.0,76.0,0.0394736842105,0.0394736842105,0.0394736842105,99.0,180.0,348,99.0,180.0,348
113,3,1,1,3,1,4,34.0,232.0,361.0,54.0,0.0185185185185,0.0185185185185,0.0185185185185,99.0,174.0,357,99.0,174.0,357
123,3,1,2,4,3,1,132.0,7.0,40.0,23.0,0.0434782608696,0.0434782608696,0.0434782608696,99.0,174.0,342,99.0,174.0,342
126,3,2,3,1,2,4,112.0,133.0,37.0,32.0,0.09375,0.03125,0.03125,99.0,174.0,336,99.0,174.0,336
129,3,2,2,4,2,1,71.0,128.0,258.0,35.0,0.0857142857143,0.0285714285714,0.0285714285714,99.0,174.0,330,99.0,174.0,330
131,3,2,1,2,4,2,66.0,131.0,37.0,21.0,0.047619047619,0.047619047619,0.047619047619,102.0,174.0,345,102.0,174.0,345
137,3,4,2,4,2,1,143.0,174.0,47.0,50.0,0.04,0.04,0.04,99.0,174.0,342,99.0,174.0,342
138,1,1,3,3,3,4,128.0,289.0,66.0,19.0,0.0526315789474,0.0526315789474,0.0526315789474,99.0,174.0,334,99.0,174.0,334
143,2,3,4,1,4,3,149.0,225.0,130.0,14.0,0.142857142857,0.0714285714286,0.0714285714286,99.0,180.0,315,99.0,180.0,315
144,1,1,3,3,3,4,129.0,164.0,37.0,26.0,0.0769230769231,0.0384615384615,0.0384615384615,99.0,174.0,342,99.0,174.0,342
146,1,1,3,3,3,4,128.0,256.0,35.0,34.0,0.0294117647059,0.0294117647059,0.0294117647059,99.0,174.0,315,99.0,174.0,315
151,3,2,2,3,1,1,260.0,59.0,288.0,22.0,0.318181818182,0.0909090909091,0.0454545454545,99.0,171.0,333,99.0,171.0,333
152,1,1,2,3,4,1,311.0,182.0,11.0,47.0,0.0851063829787,0.063829787234,0.0425531914894,99.0,171.0,318,99.0,171.0,318
155,2,4,3,3,4,2,11.0,24.0,41.0,80.0,0.025,0.025,0.025,99.0,174.0,315,99.0,174.0,315
162,1,3,3,1,3,1,36.0,169.0,65.0,41.0,0.439024390244,0.121951219512,0.0975609756098,99.0,174.0,318,99.0,174.0,318
163,2,1,1,2,4,2,82.0,128.0,195.0,10.0,0.3,0.1,0.1,99.0,174.0,318,99.0,174.0,318
166,1,1,4,4,4,3,188.0,36.0,45.0,35.0,0.0571428571429,0.0285714285714,0.0285714285714,99.0,174.0,318,99.0,174.0,318
168,3,1,4,1,2,3,170.0,162.0,35.0,18.0,0.111111111111,0.0555555555556,0.0555555555556,99.0,174.0,336,99.0,174.0,336
169,3,2,4,2,2,3,119.0,153.0,30.0,184.0,0.0271739130435,0.0217391304348,0.0163043478261,99.0,171.0,342,99.0,171.0,342
170,2,1,4,3,1,3,100.0,50.0,212.0,10.0,0.1,0.1,0.1,99.0,174.0,333,99.0,174.0,333
174,2,1,4,2,3,3,129.0,196.0,198.0,22.0,0.0454545454545,0.0454545454545,0.0454545454545,105.0,183.0,342,105.0,183.0,342
175,3,3,1,3,4,3,136.0,80.0,16.0,95.0,0.0315789473684,0.0315789473684,0.0210526315789,99.0,174.0,327,99.0,174.0,327
182,3,2,4,4,4,1,257.0,98.0,251.0,51.0,0.0196078431373,0.0196078431373,0.0196078431373,102.0,162.0,303,102.0,162.0,303
185,3,3,2,2,1,1,335.0,65.0,162.0,21.0,0.0952380952381,0.047619047619,0.047619047619,99.0,171.0,330,99.0,171.0,330
186,2,1,3,3,3,4,329.0,161.0,131.0,21.0,0.0952380952381,0.047619047619,0.047619047619,99.0,174.0,321,99.0,174.0,321
